combo,window,meta_threshold,primary_long,primary_short,require_meta_for_trade,max_trades_per_day,trades_count,total_pnl_usd,max_drawdown_usd,profit_factor,win_rate,avg_trade_usd,passes_constraints
m0.45_L0.33_S0.63_rm1,ytd_2026_jan_apr,0.45,0.33,0.63,True,,37,5984.021411687475,24.989999999997963,93.10437758484646,0.918918918918919,161.7303084239858,True
m0.45_L0.38_S0.43_rm0,ytd_2026_jan_apr,0.45,0.38,0.43,False,,108,1486.7027381126748,1196.997384600094,1.2900293502238345,0.5462962962962963,13.765766093635877,True
m0.45_L0.38_S0.43_rm1,ytd_2026_jan_apr,0.45,0.38,0.43,True,,46,7667.833490247097,24.989999999997963,119.02114037628284,0.9347826086956522,166.692032396676,True
m0.45_L0.38_S0.48_rm0,ytd_2026_jan_apr,0.45,0.38,0.48,False,,101,1837.6402399362037,1154.5586421941189,1.40810461230446,0.5643564356435643,18.194457821150532,True
m0.45_L0.38_S0.48_rm1,ytd_2026_jan_apr,0.45,0.38,0.48,True,,46,7667.833490247097,24.989999999997963,119.02114037628284,0.9347826086956522,166.692032396676,True
m0.45_L0.38_S0.53_rm0,ytd_2026_jan_apr,0.45,0.38,0.53,False,,94,2249.209032318732,1154.5586421941189,1.576552009845778,0.574468085106383,23.927755662965236,True
m0.45_L0.38_S0.53_rm1,ytd_2026_jan_apr,0.45,0.38,0.53,True,,41,6909.045566064331,24.989999999997963,107.34208967314656,0.926829268292683,168.51330648937392,True
m0.45_L0.38_S0.58_rm0,ytd_2026_jan_apr,0.45,0.38,0.58,False,,95,2047.234899548337,1064.276537728445,1.4910903895988448,0.5684210526315789,21.54984104787723,True
m0.45_L0.38_S0.58_rm1,ytd_2026_jan_apr,0.45,0.38,0.58,True,,35,5940.296003303994,24.989999999997963,92.43136837469592,0.9142857142857143,169.7227429515427,True
m0.45_L0.38_S0.63_rm0,ytd_2026_jan_apr,0.45,0.38,0.63,False,,81,1468.6307575308983,1121.3400859655521,1.3769388274416157,0.5679012345679012,18.131243920134548,True
m0.45_L0.38_S0.63_rm1,ytd_2026_jan_apr,0.45,0.38,0.63,True,,31,5521.75550763334,24.989999999997963,85.98931056846759,0.9032258064516129,178.1211454075271,True
m0.45_L0.43_S0.43_rm0,ytd_2026_jan_apr,0.45,0.43,0.43,False,,162,5729.802617272232,883.9081245529524,1.7771983932275073,0.5864197530864198,35.36915195847057,True
m0.45_L0.43_S0.43_rm1,ytd_2026_jan_apr,0.45,0.43,0.43,True,,41,7092.075068735165,24.989999999997963,173.0124925717964,0.9512195121951219,172.97744070085767,True
m0.45_L0.43_S0.48_rm0,ytd_2026_jan_apr,0.45,0.43,0.48,False,,109,1520.7027825029586,1151.9836099262684,1.3025979311498463,0.5412844036697247,13.95140167433907,True
m0.45_L0.43_S0.48_rm1,ytd_2026_jan_apr,0.45,0.43,0.48,True,,41,7092.075068735165,24.989999999997963,173.0124925717964,0.9512195121951219,172.97744070085767,True
m0.45_L0.43_S0.53_rm0,ytd_2026_jan_apr,0.45,0.43,0.53,False,,102,1924.4313729334694,1159.8238118782901,1.4339270011404341,0.5490196078431373,18.866974244445778,True
m0.45_L0.43_S0.53_rm1,ytd_2026_jan_apr,0.45,0.43,0.53,True,,36,6333.287144552401,24.989999999997963,154.60871075800145,0.9444444444444444,175.92464290423334,True
m0.45_L0.43_S0.58_rm0,ytd_2026_jan_apr,0.45,0.43,0.58,False,,125,3775.7357341260695,933.3444297313108,1.6526805324761427,0.56,30.205885873008555,True
m0.45_L0.43_S0.58_rm1,ytd_2026_jan_apr,0.45,0.43,0.58,True,,30,5364.537581792064,24.989999999997963,131.11248076138887,0.9333333333333333,178.8179193930688,True
m0.45_L0.43_S0.63_rm0,ytd_2026_jan_apr,0.45,0.43,0.63,False,,105,3456.7596601162486,790.1630073540073,1.6891286973259696,0.5714285714285714,32.9215205725357,True
m0.45_L0.43_S0.63_rm1,ytd_2026_jan_apr,0.45,0.43,0.63,True,,26,4945.997086121408,24.989999999997963,120.96112263209815,0.9230769230769231,190.2306571585157,True
m0.45_L0.48_S0.43_rm0,ytd_2026_jan_apr,0.45,0.48,0.43,False,,160,5554.528190781335,883.9081245529524,1.75889371823953,0.5875,34.715801192383346,True
m0.45_L0.48_S0.43_rm1,ytd_2026_jan_apr,0.45,0.48,0.43,True,,41,7092.075068735165,24.989999999997963,173.0124925717964,0.9512195121951219,172.97744070085767,True
m0.45_L0.48_S0.48_rm0,ytd_2026_jan_apr,0.45,0.48,0.48,False,,107,1698.961271210137,1180.2437486244016,1.3505909097971125,0.5607476635514018,15.878142721590066,True
m0.45_L0.48_S0.48_rm1,ytd_2026_jan_apr,0.45,0.48,0.48,True,,41,7092.075068735165,24.989999999997963,173.0124925717964,0.9512195121951219,172.97744070085767,True
m0.45_L0.48_S0.53_rm0,ytd_2026_jan_apr,0.45,0.48,0.53,False,,132,4686.383809831914,1028.0939505764254,1.814424967808421,0.5909090909090909,35.502907650241774,True
m0.45_L0.48_S0.53_rm1,ytd_2026_jan_apr,0.45,0.48,0.53,True,,36,6333.287144552401,24.989999999997963,154.60871075800145,0.9444444444444444,175.92464290423334,True
m0.45_L0.48_S0.58_rm0,ytd_2026_jan_apr,0.45,0.48,0.58,False,,120,3912.4282293617134,865.354568429444,1.7185401684118147,0.575,32.603568578014276,True
m0.45_L0.48_S0.58_rm1,ytd_2026_jan_apr,0.45,0.48,0.58,True,,30,5364.537581792064,24.989999999997963,131.11248076138887,0.9333333333333333,178.8179193930688,True
m0.45_L0.48_S0.63_rm0,ytd_2026_jan_apr,0.45,0.48,0.63,False,,98,3594.4964186440575,720.0738219510458,1.7845822795431747,0.5918367346938775,36.67853488412304,True
m0.45_L0.48_S0.63_rm1,ytd_2026_jan_apr,0.45,0.48,0.63,True,,26,4945.997086121408,24.989999999997963,120.96112263209815,0.9230769230769231,190.2306571585157,True
m0.5_L0.28_S0.43_rm0,ytd_2026_jan_apr,0.5,0.28,0.43,False,,115,1644.0824267059884,1230.9826894950966,1.310470753543941,0.5565217391304348,14.29636892787816,True
m0.5_L0.28_S0.43_rm1,ytd_2026_jan_apr,0.5,0.28,0.43,True,,59,8772.026248285458,24.989999999997963,136.01656531145846,0.9491525423728814,148.67841098788912,True
m0.5_L0.28_S0.48_rm0,ytd_2026_jan_apr,0.5,0.28,0.48,False,,103,1192.1609365761649,1417.8963265046332,1.246420873732061,0.5533980582524272,11.57437802501131,True
m0.5_L0.28_S0.48_rm1,ytd_2026_jan_apr,0.5,0.28,0.48,True,,59,8772.026248285458,24.989999999997963,136.01656531145846,0.9491525423728814,148.67841098788912,True
m0.5_L0.28_S0.53_rm0,ytd_2026_jan_apr,0.5,0.28,0.53,False,,97,1069.335734687181,1417.8963265046332,1.234086645626507,0.5463917525773195,11.024079739043103,True
m0.5_L0.28_S0.53_rm1,ytd_2026_jan_apr,0.5,0.28,0.53,True,,54,8013.238324102695,24.989999999997963,124.33751460832221,0.9444444444444444,148.39330229819805,True
m0.5_L0.28_S0.58_rm0,ytd_2026_jan_apr,0.5,0.28,0.58,False,,94,390.656198583064,1418.2968286279065,1.083175470321994,0.5106382978723404,4.155917006202809,True
m0.5_L0.28_S0.58_rm1,ytd_2026_jan_apr,0.5,0.28,0.58,True,,48,7044.488761342356,24.989999999997963,109.4267933098716,0.9375,146.76018252796575,True
m0.5_L0.28_S0.63_rm0,ytd_2026_jan_apr,0.5,0.28,0.63,False,,85,45.12761454980523,1418.2968286279065,1.0099945973462745,0.49411764705882355,0.5309131123506498,True
m0.5_L0.28_S0.63_rm1,ytd_2026_jan_apr,0.5,0.28,0.63,True,,44,6625.948265671702,24.989999999997963,102.98473550364324,0.9318181818181818,150.5897333107205,True
m0.5_L0.31_S0.43_rm0,ytd_2026_jan_apr,0.5,0.31,0.43,False,,105,1104.6551675408903,1578.6696676910215,1.2189949760188692,0.5333333333333333,10.520525405151336,True
m0.5_L0.31_S0.43_rm1,ytd_2026_jan_apr,0.5,0.31,0.43,True,,57,8622.033329181888,24.989999999997963,133.7079164103723,0.9473684210526315,151.26374261722611,True
m0.5_L0.31_S0.48_rm0,ytd_2026_jan_apr,0.5,0.31,0.48,False,,98,1442.5595975445094,1305.7979777516375,1.3253360872627178,0.5510204081632653,14.71999589331132,True
m0.5_L0.31_S0.48_rm1,ytd_2026_jan_apr,0.5,0.31,0.48,True,,57,8622.033329181888,24.989999999997963,133.7079164103723,0.9473684210526315,151.26374261722611,True
m0.5_L0.31_S0.53_rm0,ytd_2026_jan_apr,0.5,0.31,0.53,False,,91,1854.1283899270372,1305.7979777516375,1.4838120375439139,0.5604395604395604,20.375037251945464,True
m0.5_L0.31_S0.53_rm1,ytd_2026_jan_apr,0.5,0.31,0.53,True,,52,7863.245404999124,24.989999999997963,122.02886570723601,0.9423076923076923,151.2162577884447,True
m0.5_L0.31_S0.58_rm0,ytd_2026_jan_apr,0.5,0.31,0.58,False,,86,1097.1989181741692,1306.1984798749108,1.2808202845128627,0.5232558139534884,12.758126955513596,True
m0.5_L0.31_S0.58_rm1,ytd_2026_jan_apr,0.5,0.31,0.58,True,,46,6894.495842238787,24.989999999997963,107.11814440878538,0.9347826086956522,149.88034439649536,True
m0.5_L0.31_S0.63_rm0,ytd_2026_jan_apr,0.5,0.31,0.63,False,,76,415.1221571097308,1306.1984798749108,1.108164926971373,0.5,5.462133646180668,True
m0.5_L0.31_S0.63_rm1,ytd_2026_jan_apr,0.5,0.31,0.63,True,,42,6475.955346568131,24.989999999997963,100.67608660255706,0.9285714285714286,154.18941301352692,True
m0.5_L0.33_S0.43_rm0,ytd_2026_jan_apr,0.5,0.33,0.43,False,,104,1264.4677046043414,1615.181801320774,1.2596293841808424,0.5288461538461539,12.158343313503282,True
m0.5_L0.33_S0.43_rm1,ytd_2026_jan_apr,0.5,0.33,0.43,True,,52,8130.099394301232,24.989999999997963,126.13620739266169,0.9423076923076923,156.34806527502369,True
m0.5_L0.33_S0.48_rm0,ytd_2026_jan_apr,0.5,0.33,0.48,False,,96,1712.8952064278699,1365.3884412606203,1.4127843340875614,0.5520833333333334,17.84265840029031,True
m0.5_L0.33_S0.48_rm1,ytd_2026_jan_apr,0.5,0.33,0.48,True,,52,8130.099394301232,24.989999999997963,126.13620739266169,0.9423076923076923,156.34806527502369,True
m0.5_L0.33_S0.53_rm0,ytd_2026_jan_apr,0.5,0.33,0.53,False,,89,2124.463998810398,1365.3884412606203,1.5987972425914343,0.5617977528089888,23.870382009105597,True
m0.5_L0.33_S0.53_rm1,ytd_2026_jan_apr,0.5,0.33,0.53,True,,47,7371.311470118468,24.989999999997963,114.45715668952543,0.9361702127659575,156.83641425783975,True
m0.5_L0.33_S0.58_rm0,ytd_2026_jan_apr,0.5,0.33,0.58,False,,82,1587.4683144568605,1401.091737354458,1.4636841090544057,0.5487804878048781,19.359369688498298,True
m0.5_L0.33_S0.58_rm1,ytd_2026_jan_apr,0.5,0.33,0.58,True,,41,6402.561907358129,24.989999999997963,99.54643539107481,0.926829268292683,156.16004652093,True
m0.5_L0.33_S0.63_rm0,ytd_2026_jan_apr,0.5,0.33,0.63,False,,71,965.0049448481798,1401.091737354458,1.2928937610190745,0.5352112676056338,13.59161894152366,True
m0.5_L0.33_S0.63_rm1,ytd_2026_jan_apr,0.5,0.33,0.63,True,,37,5984.021411687475,24.989999999997963,93.10437758484646,0.918918918918919,161.7303084239858,True
m0.5_L0.38_S0.43_rm0,ytd_2026_jan_apr,0.5,0.38,0.43,False,,108,1486.7027381126748,1196.997384600094,1.2900293502238345,0.5462962962962963,13.765766093635877,True
m0.5_L0.38_S0.43_rm1,ytd_2026_jan_apr,0.5,0.38,0.43,True,,46,7667.833490247097,24.989999999997963,119.02114037628284,0.9347826086956522,166.692032396676,True
m0.5_L0.38_S0.48_rm0,ytd_2026_jan_apr,0.5,0.38,0.48,False,,101,1837.6402399362037,1154.5586421941189,1.40810461230446,0.5643564356435643,18.194457821150532,True
m0.5_L0.38_S0.48_rm1,ytd_2026_jan_apr,0.5,0.38,0.48,True,,46,7667.833490247097,24.989999999997963,119.02114037628284,0.9347826086956522,166.692032396676,True
m0.5_L0.38_S0.53_rm0,ytd_2026_jan_apr,0.5,0.38,0.53,False,,94,2249.209032318732,1154.5586421941189,1.576552009845778,0.574468085106383,23.927755662965236,True
m0.5_L0.38_S0.53_rm1,ytd_2026_jan_apr,0.5,0.38,0.53,True,,41,6909.045566064331,24.989999999997963,107.34208967314656,0.926829268292683,168.51330648937392,True
m0.5_L0.38_S0.58_rm0,ytd_2026_jan_apr,0.5,0.38,0.58,False,,95,2047.234899548337,1064.276537728445,1.4910903895988448,0.5684210526315789,21.54984104787723,True
m0.5_L0.38_S0.58_rm1,ytd_2026_jan_apr,0.5,0.38,0.58,True,,35,5940.296003303994,24.989999999997963,92.43136837469592,0.9142857142857143,169.7227429515427,True
m0.5_L0.38_S0.63_rm0,ytd_2026_jan_apr,0.5,0.38,0.63,False,,81,1468.6307575308983,1121.3400859655521,1.3769388274416157,0.5679012345679012,18.131243920134548,True
m0.5_L0.38_S0.63_rm1,ytd_2026_jan_apr,0.5,0.38,0.63,True,,31,5521.75550763334,24.989999999997963,85.98931056846759,0.9032258064516129,178.1211454075271,True
m0.5_L0.43_S0.43_rm0,ytd_2026_jan_apr,0.5,0.43,0.43,False,,162,5729.802617272232,883.9081245529524,1.7771983932275073,0.5864197530864198,35.36915195847057,True
m0.5_L0.43_S0.43_rm1,ytd_2026_jan_apr,0.5,0.43,0.43,True,,41,7092.075068735165,24.989999999997963,173.0124925717964,0.9512195121951219,172.97744070085767,True
m0.5_L0.43_S0.48_rm0,ytd_2026_jan_apr,0.5,0.43,0.48,False,,109,1520.7027825029586,1151.9836099262684,1.3025979311498463,0.5412844036697247,13.95140167433907,True
m0.5_L0.43_S0.48_rm1,ytd_2026_jan_apr,0.5,0.43,0.48,True,,41,7092.075068735165,24.989999999997963,173.0124925717964,0.9512195121951219,172.97744070085767,True
m0.5_L0.43_S0.53_rm0,ytd_2026_jan_apr,0.5,0.43,0.53,False,,102,1924.4313729334694,1159.8238118782901,1.4339270011404341,0.5490196078431373,18.866974244445778,True
m0.5_L0.43_S0.53_rm1,ytd_2026_jan_apr,0.5,0.43,0.53,True,,36,6333.287144552401,24.989999999997963,154.60871075800145,0.9444444444444444,175.92464290423334,True
m0.5_L0.43_S0.58_rm0,ytd_2026_jan_apr,0.5,0.43,0.58,False,,125,3775.7357341260695,933.3444297313108,1.6526805324761427,0.56,30.205885873008555,True
m0.5_L0.43_S0.58_rm1,ytd_2026_jan_apr,0.5,0.43,0.58,True,,30,5364.537581792064,24.989999999997963,131.11248076138887,0.9333333333333333,178.8179193930688,True
m0.5_L0.43_S0.63_rm0,ytd_2026_jan_apr,0.5,0.43,0.63,False,,105,3456.7596601162486,790.1630073540073,1.6891286973259696,0.5714285714285714,32.9215205725357,True
m0.5_L0.43_S0.63_rm1,ytd_2026_jan_apr,0.5,0.43,0.63,True,,26,4945.997086121408,24.989999999997963,120.96112263209815,0.9230769230769231,190.2306571585157,True
m0.5_L0.48_S0.43_rm0,ytd_2026_jan_apr,0.5,0.48,0.43,False,,160,5554.528190781335,883.9081245529524,1.75889371823953,0.5875,34.715801192383346,True
m0.5_L0.48_S0.43_rm1,ytd_2026_jan_apr,0.5,0.48,0.43,True,,41,7092.075068735165,24.989999999997963,173.0124925717964,0.9512195121951219,172.97744070085767,True
m0.5_L0.48_S0.48_rm0,ytd_2026_jan_apr,0.5,0.48,0.48,False,,107,1698.961271210137,1180.2437486244016,1.3505909097971125,0.5607476635514018,15.878142721590066,True
m0.5_L0.48_S0.48_rm1,ytd_2026_jan_apr,0.5,0.48,0.48,True,,41,7092.075068735165,24.989999999997963,173.0124925717964,0.9512195121951219,172.97744070085767,True
m0.5_L0.48_S0.53_rm0,ytd_2026_jan_apr,0.5,0.48,0.53,False,,132,4686.383809831914,1028.0939505764254,1.814424967808421,0.5909090909090909,35.502907650241774,True
m0.5_L0.48_S0.53_rm1,ytd_2026_jan_apr,0.5,0.48,0.53,True,,36,6333.287144552401,24.989999999997963,154.60871075800145,0.9444444444444444,175.92464290423334,True
m0.5_L0.48_S0.58_rm0,ytd_2026_jan_apr,0.5,0.48,0.58,False,,120,3912.4282293617134,865.354568429444,1.7185401684118147,0.575,32.603568578014276,True
m0.5_L0.48_S0.58_rm1,ytd_2026_jan_apr,0.5,0.48,0.58,True,,30,5364.537581792064,24.989999999997963,131.11248076138887,0.9333333333333333,178.8179193930688,True
m0.5_L0.48_S0.63_rm0,ytd_2026_jan_apr,0.5,0.48,0.63,False,,98,3594.4964186440575,720.0738219510458,1.7845822795431747,0.5918367346938775,36.67853488412304,True
m0.5_L0.48_S0.63_rm1,ytd_2026_jan_apr,0.5,0.48,0.63,True,,26,4945.997086121408,24.989999999997963,120.96112263209815,0.9230769230769231,190.2306571585157,True
m0.55_L0.28_S0.43_rm0,ytd_2026_jan_apr,0.55,0.28,0.43,False,,115,1644.0824267059884,1230.9826894950966,1.310470753543941,0.5565217391304348,14.29636892787816,True
m0.55_L0.28_S0.43_rm1,ytd_2026_jan_apr,0.55,0.28,0.43,True,,59,8772.026248285458,24.989999999997963,136.01656531145846,0.9491525423728814,148.67841098788912,True
m0.55_L0.28_S0.48_rm0,ytd_2026_jan_apr,0.55,0.28,0.48,False,,103,1192.1609365761649,1417.8963265046332,1.246420873732061,0.5533980582524272,11.57437802501131,True
m0.55_L0.28_S0.48_rm1,ytd_2026_jan_apr,0.55,0.28,0.48,True,,59,8772.026248285458,24.989999999997963,136.01656531145846,0.9491525423728814,148.67841098788912,True
m0.55_L0.28_S0.53_rm0,ytd_2026_jan_apr,0.55,0.28,0.53,False,,97,1069.335734687181,1417.8963265046332,1.234086645626507,0.5463917525773195,11.024079739043103,True
m0.55_L0.28_S0.53_rm1,ytd_2026_jan_apr,0.55,0.28,0.53,True,,54,8013.238324102695,24.989999999997963,124.33751460832221,0.9444444444444444,148.39330229819805,True
m0.55_L0.28_S0.58_rm0,ytd_2026_jan_apr,0.55,0.28,0.58,False,,94,390.656198583064,1418.2968286279065,1.083175470321994,0.5106382978723404,4.155917006202809,True
m0.55_L0.28_S0.58_rm1,ytd_2026_jan_apr,0.55,0.28,0.58,True,,48,7044.488761342356,24.989999999997963,109.4267933098716,0.9375,146.76018252796575,True
m0.55_L0.28_S0.63_rm0,ytd_2026_jan_apr,0.55,0.28,0.63,False,,85,45.12761454980523,1418.2968286279065,1.0099945973462745,0.49411764705882355,0.5309131123506498,True
m0.55_L0.28_S0.63_rm1,ytd_2026_jan_apr,0.55,0.28,0.63,True,,44,6625.948265671702,24.989999999997963,102.98473550364324,0.9318181818181818,150.5897333107205,True
m0.55_L0.31_S0.43_rm0,ytd_2026_jan_apr,0.55,0.31,0.43,False,,105,1104.6551675408903,1578.6696676910215,1.2189949760188692,0.5333333333333333,10.520525405151336,True
m0.55_L0.31_S0.43_rm1,ytd_2026_jan_apr,0.55,0.31,0.43,True,,57,8622.033329181888,24.989999999997963,133.7079164103723,0.9473684210526315,151.26374261722611,True
m0.55_L0.31_S0.48_rm0,ytd_2026_jan_apr,0.55,0.31,0.48,False,,98,1442.5595975445094,1305.7979777516375,1.3253360872627178,0.5510204081632653,14.71999589331132,True
m0.55_L0.31_S0.48_rm1,ytd_2026_jan_apr,0.55,0.31,0.48,True,,57,8622.033329181888,24.989999999997963,133.7079164103723,0.9473684210526315,151.26374261722611,True
m0.55_L0.31_S0.53_rm0,ytd_2026_jan_apr,0.55,0.31,0.53,False,,91,1854.1283899270372,1305.7979777516375,1.4838120375439139,0.5604395604395604,20.375037251945464,True
m0.55_L0.31_S0.53_rm1,ytd_2026_jan_apr,0.55,0.31,0.53,True,,52,7863.245404999124,24.989999999997963,122.02886570723601,0.9423076923076923,151.2162577884447,True
m0.55_L0.31_S0.58_rm0,ytd_2026_jan_apr,0.55,0.31,0.58,False,,86,1097.1989181741692,1306.1984798749108,1.2808202845128627,0.5232558139534884,12.758126955513596,True
m0.55_L0.31_S0.58_rm1,ytd_2026_jan_apr,0.55,0.31,0.58,True,,46,6894.495842238787,24.989999999997963,107.11814440878538,0.9347826086956522,149.88034439649536,True
m0.55_L0.31_S0.63_rm0,ytd_2026_jan_apr,0.55,0.31,0.63,False,,76,415.1221571097308,1306.1984798749108,1.108164926971373,0.5,5.462133646180668,True
m0.55_L0.31_S0.63_rm1,ytd_2026_jan_apr,0.55,0.31,0.63,True,,42,6475.955346568131,24.989999999997963,100.67608660255706,0.9285714285714286,154.18941301352692,True
m0.55_L0.33_S0.43_rm0,ytd_2026_jan_apr,0.55,0.33,0.43,False,,104,1264.4677046043414,1615.181801320774,1.2596293841808424,0.5288461538461539,12.158343313503282,True
m0.55_L0.33_S0.43_rm1,ytd_2026_jan_apr,0.55,0.33,0.43,True,,52,8130.099394301232,24.989999999997963,126.13620739266169,0.9423076923076923,156.34806527502369,True
m0.55_L0.33_S0.48_rm0,ytd_2026_jan_apr,0.55,0.33,0.48,False,,96,1712.8952064278699,1365.3884412606203,1.4127843340875614,0.5520833333333334,17.84265840029031,True
m0.55_L0.33_S0.48_rm1,ytd_2026_jan_apr,0.55,0.33,0.48,True,,52,8130.099394301232,24.989999999997963,126.13620739266169,0.9423076923076923,156.34806527502369,True
m0.55_L0.33_S0.53_rm0,ytd_2026_jan_apr,0.55,0.33,0.53,False,,89,2124.463998810398,1365.3884412606203,1.5987972425914343,0.5617977528089888,23.870382009105597,True
m0.55_L0.33_S0.53_rm1,ytd_2026_jan_apr,0.55,0.33,0.53,True,,47,7371.311470118468,24.989999999997963,114.45715668952543,0.9361702127659575,156.83641425783975,True
m0.55_L0.33_S0.58_rm0,ytd_2026_jan_apr,0.55,0.33,0.58,False,,82,1587.4683144568605,1401.091737354458,1.4636841090544057,0.5487804878048781,19.359369688498298,True
m0.55_L0.33_S0.58_rm1,ytd_2026_jan_apr,0.55,0.33,0.58,True,,41,6402.561907358129,24.989999999997963,99.54643539107481,0.926829268292683,156.16004652093,True
m0.55_L0.33_S0.63_rm0,ytd_2026_jan_apr,0.55,0.33,0.63,False,,71,965.0049448481798,1401.091737354458,1.2928937610190745,0.5352112676056338,13.59161894152366,True
m0.55_L0.33_S0.63_rm1,ytd_2026_jan_apr,0.55,0.33,0.63,True,,37,5984.021411687475,24.989999999997963,93.10437758484646,0.918918918918919,161.7303084239858,True
m0.55_L0.38_S0.43_rm0,ytd_2026_jan_apr,0.55,0.38,0.43,False,,108,1486.7027381126748,1196.997384600094,1.2900293502238345,0.5462962962962963,13.765766093635877,True
m0.55_L0.38_S0.43_rm1,ytd_2026_jan_apr,0.55,0.38,0.43,True,,46,7667.833490247097,24.989999999997963,119.02114037628284,0.9347826086956522,166.692032396676,True
m0.55_L0.38_S0.48_rm0,ytd_2026_jan_apr,0.55,0.38,0.48,False,,101,1837.6402399362037,1154.5586421941189,1.40810461230446,0.5643564356435643,18.194457821150532,True
m0.55_L0.38_S0.48_rm1,ytd_2026_jan_apr,0.55,0.38,0.48,True,,46,7667.833490247097,24.989999999997963,119.02114037628284,0.9347826086956522,166.692032396676,True
m0.55_L0.38_S0.53_rm0,ytd_2026_jan_apr,0.55,0.38,0.53,False,,94,2249.209032318732,1154.5586421941189,1.576552009845778,0.574468085106383,23.927755662965236,True
m0.55_L0.38_S0.53_rm1,ytd_2026_jan_apr,0.55,0.38,0.53,True,,41,6909.045566064331,24.989999999997963,107.34208967314656,0.926829268292683,168.51330648937392,True
m0.55_L0.38_S0.58_rm0,ytd_2026_jan_apr,0.55,0.38,0.58,False,,95,2047.234899548337,1064.276537728445,1.4910903895988448,0.5684210526315789,21.54984104787723,True
m0.55_L0.38_S0.58_rm1,ytd_2026_jan_apr,0.55,0.38,0.58,True,,35,5940.296003303994,24.989999999997963,92.43136837469592,0.9142857142857143,169.7227429515427,True
m0.55_L0.38_S0.63_rm0,ytd_2026_jan_apr,0.55,0.38,0.63,False,,81,1468.6307575308983,1121.3400859655521,1.3769388274416157,0.5679012345679012,18.131243920134548,True
m0.55_L0.38_S0.63_rm1,ytd_2026_jan_apr,0.55,0.38,0.63,True,,31,5521.75550763334,24.989999999997963,85.98931056846759,0.9032258064516129,178.1211454075271,True
m0.55_L0.43_S0.43_rm0,ytd_2026_jan_apr,0.55,0.43,0.43,False,,162,5729.802617272232,883.9081245529524,1.7771983932275073,0.5864197530864198,35.36915195847057,True
m0.55_L0.43_S0.43_rm1,ytd_2026_jan_apr,0.55,0.43,0.43,True,,41,7092.075068735165,24.989999999997963,173.0124925717964,0.9512195121951219,172.97744070085767,True
m0.55_L0.43_S0.48_rm0,ytd_2026_jan_apr,0.55,0.43,0.48,False,,109,1520.7027825029586,1151.9836099262684,1.3025979311498463,0.5412844036697247,13.95140167433907,True
m0.55_L0.43_S0.48_rm1,ytd_2026_jan_apr,0.55,0.43,0.48,True,,41,7092.075068735165,24.989999999997963,173.0124925717964,0.9512195121951219,172.97744070085767,True
m0.55_L0.43_S0.53_rm0,ytd_2026_jan_apr,0.55,0.43,0.53,False,,102,1924.4313729334694,1159.8238118782901,1.4339270011404341,0.5490196078431373,18.866974244445778,True
m0.55_L0.43_S0.53_rm1,ytd_2026_jan_apr,0.55,0.43,0.53,True,,36,6333.287144552401,24.989999999997963,154.60871075800145,0.9444444444444444,175.92464290423334,True
m0.55_L0.43_S0.58_rm0,ytd_2026_jan_apr,0.55,0.43,0.58,False,,125,3775.7357341260695,933.3444297313108,1.6526805324761427,0.56,30.205885873008555,True
m0.55_L0.43_S0.58_rm1,ytd_2026_jan_apr,0.55,0.43,0.58,True,,30,5364.537581792064,24.989999999997963,131.11248076138887,0.9333333333333333,178.8179193930688,True
m0.55_L0.43_S0.63_rm0,ytd_2026_jan_apr,0.55,0.43,0.63,False,,105,3456.7596601162486,790.1630073540073,1.6891286973259696,0.5714285714285714,32.9215205725357,True
m0.55_L0.43_S0.63_rm1,ytd_2026_jan_apr,0.55,0.43,0.63,True,,26,4945.997086121408,24.989999999997963,120.96112263209815,0.9230769230769231,190.2306571585157,True
m0.55_L0.48_S0.43_rm0,ytd_2026_jan_apr,0.55,0.48,0.43,False,,160,5554.528190781335,883.9081245529524,1.75889371823953,0.5875,34.715801192383346,True
m0.55_L0.48_S0.43_rm1,ytd_2026_jan_apr,0.55,0.48,0.43,True,,41,7092.075068735165,24.989999999997963,173.0124925717964,0.9512195121951219,172.97744070085767,True
m0.55_L0.48_S0.48_rm0,ytd_2026_jan_apr,0.55,0.48,0.48,False,,107,1698.961271210137,1180.2437486244016,1.3505909097971125,0.5607476635514018,15.878142721590066,True
m0.55_L0.48_S0.48_rm1,ytd_2026_jan_apr,0.55,0.48,0.48,True,,41,7092.075068735165,24.989999999997963,173.0124925717964,0.9512195121951219,172.97744070085767,True
m0.55_L0.48_S0.53_rm0,ytd_2026_jan_apr,0.55,0.48,0.53,False,,132,4686.383809831914,1028.0939505764254,1.814424967808421,0.5909090909090909,35.502907650241774,True
m0.55_L0.48_S0.53_rm1,ytd_2026_jan_apr,0.55,0.48,0.53,True,,36,6333.287144552401,24.989999999997963,154.60871075800145,0.9444444444444444,175.92464290423334,True
m0.55_L0.48_S0.58_rm0,ytd_2026_jan_apr,0.55,0.48,0.58,False,,120,3912.4282293617134,865.354568429444,1.7185401684118147,0.575,32.603568578014276,True
m0.55_L0.48_S0.58_rm1,ytd_2026_jan_apr,0.55,0.48,0.58,True,,30,5364.537581792064,24.989999999997963,131.11248076138887,0.9333333333333333,178.8179193930688,True
m0.55_L0.48_S0.63_rm0,ytd_2026_jan_apr,0.55,0.48,0.63,False,,98,3594.4964186440575,720.0738219510458,1.7845822795431747,0.5918367346938775,36.67853488412304,True
